2023-11-03 10:11:58.079 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:12:04.080 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:12:10.478 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2675
2023-11-03 10:12:16.449 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2674
2023-11-03 10:12:22.385 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:12:28.318 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:12:34.384 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:12:40.312 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:12:46.229 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:12:52.191 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:12:58.125 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:13:04.085 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:13:10.141 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:13:15.999 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:13:22.016 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:13:27.802 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:13:33.706 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2646
2023-11-03 10:13:39.728 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2647
2023-11-03 10:13:45.626 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2647
2023-11-03 10:13:51.509 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2647
2023-11-03 10:13:57.420 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2648
2023-11-03 10:14:03.337 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2648
2023-11-03 10:14:09.193 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:14:15.206 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2650
2023-11-03 10:14:21.140 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2650
2023-11-03 10:14:27.261 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2651
2023-11-03 10:14:33.141 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2650
2023-11-03 10:14:39.076 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2650
2023-11-03 10:14:45.083 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2651
2023-11-03 10:14:51.002 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2651
2023-11-03 10:14:56.928 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2651
2023-11-03 10:15:02.817 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2651
2023-11-03 10:15:08.752 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2651
2023-11-03 10:15:14.635 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2651
2023-11-03 10:15:20.651 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2652
2023-11-03 10:15:26.499 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2656
2023-11-03 10:15:32.429 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2652
2023-11-03 10:15:38.349 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2652
2023-11-03 10:15:44.182 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2652
2023-11-03 10:15:50.187 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2652
2023-11-03 10:15:56.150 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2658
2023-11-03 10:16:02.070 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:16:07.991 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:16:13.885 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:16:19.823 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2653
2023-11-03 10:16:25.977 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2655
2023-11-03 10:16:31.920 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2656
2023-11-03 10:16:38.050 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2656
2023-11-03 10:16:44.038 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:16:50.076 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:16:56.167 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2654
2023-11-03 10:17:01.986 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2655
2023-11-03 10:17:07.918 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2655
2023-11-03 10:17:13.765 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2655
2023-11-03 10:17:19.664 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2655
2023-11-03 10:17:25.596 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2655
